Date,Social Dominance (ETH),Positive sentiment (Total) (ETH),Negative sentiment (Total) (ETH),Weighted sentiment (Total) (ETH),Development Activity (ETH),MVRV Ratio (1d) (ETH),NVT Ratio (with Transaction Volume) (ETH),Active Addresses 24h (ETH),Supply on Exchanges (ETH),Whale Transaction Count (>100k USD) (ETH),Percent of Stablecoin Total Supply held by Whales with more than 5 million USD,Transaction Volume (ETH),Network Growth (ETH)
2025-02-26T00:00:00.000Z,7.624816434922,2299.871082186699,2493.388547480106,-1.035603208077,1999,-0.025198530399999974,39.803134435705,502999,14383175.6211001,65212,47.830010980697,28912082.38164655,843187
2025-02-27T00:00:00.000Z,6.176670364843,2360.256957769394,2018.817254245281,-0.040519563959,1827,0.017585522754999916,36.130810150349,511603,14748861.240765365,75375,49.260317742649,30001593.26430233,817555
2025-02-28T00:00:00.000Z,8.002054452191,2360.256957769394,2018.817254245281,-0.040519563959,1827,0.017585522754999916,36.130810150349,511603,14748861.240765365,75375,49.260317742649,30001593.26430233,817555
2025-03-01T00:00:00.000Z,7.750485351021,2360.256957769394,2018.817254245281,-0.040519563959,1827,0.017585522754999916,36.130810150349,511603,14748861.240765365,75375,49.260317742649,30001593.26430233,817555
2025-03-02T00:00:00.000Z,7.738074301019,2360.256957769394,2018.817254245281,-0.040519563959,1827,0.017585522754999916,36.130810150349,511603,14748861.240765365,75375,49.260317742649,30001593.26430233,817555
2025-03-03T00:00:00.000Z,7.462208042982,2360.256957769394,2018.817254245281,-0.040519563959,1827,0.017585522754999916,36.130810150349,511603,14748861.240765365,75375,49.260317742649,30001593.26430233,817555
2025-03-04T00:00:00.000Z,8.583819315699,2360.256957769394,2018.817254245281,-0.040519563959,1827,0.017585522754999916,36.130810150349,511603,14748861.240765365,75375,49.260317742649,30001593.26430233,817555
2025-03-05T00:00:00.000Z,6.53619828676,2360.256957769394,2018.817254245281,-0.040519563959,1827,0.017585522754999916,36.130810150349,511603,14748861.240765365,75375,49.260317742649,30001593.26430233,817555
2025-03-06T00:00:00.000Z,6.00561637414,1818.71132671833,1743.50708013773,-0.404504005814,2411,0.010706559861999976,46.609662416649,452250,14404560.311628576,52021,50.066363630619,25937507.775241293,804512
2025-03-07T00:00:00.000Z,5.195709809532,1818.71132671833,1743.50708013773,-0.404504005814,2411,0.010706559861999976,46.609662416649,452250,14404560.311628576,52021,50.066363630619,25937507.775241293,804512
2025-03-08T00:00:00.000Z,5.720467985136,1818.71132671833,1743.50708013773,-0.404504005814,2411,0.010706559861999976,46.609662416649,452250,14404560.311628576,52021,50.066363630619,25937507.775241293,804512
2025-03-09T00:00:00.000Z,5.746679037072,1818.71132671833,1743.50708013773,-0.404504005814,2411,0.010706559861999976,46.609662416649,452250,14404560.311628576,52021,50.066363630619,25937507.775241293,804512
2025-03-10T00:00:00.000Z,7.018504416627,1818.71132671833,1743.50708013773,-0.404504005814,2411,0.010706559861999976,46.609662416649,452250,14404560.311628576,52021,50.066363630619,25937507.775241293,804512
2025-03-11T00:00:00.000Z,8.335522870577,1818.71132671833,1743.50708013773,-0.404504005814,2411,0.010706559861999976,46.609662416649,452250,14404560.311628576,52021,50.066363630619,25937507.775241293,804512
2025-03-12T00:00:00.000Z,9.065223248383,1818.71132671833,1743.50708013773,-0.404504005814,2411,0.010706559861999976,46.609662416649,452250,14404560.311628576,52021,50.066363630619,25937507.775241293,804512
2025-03-13T00:00:00.000Z,8.782892615363,1553.212062478065,1198.626103579998,-0.097592894032,2492,0.0254889893100001,61.850395661705,462687,14431432.347815808,29572,49.401896500042,18256601.305810686,693911
2025-03-14T00:00:00.000Z,5.697814318306,1553.212062478065,1198.626103579998,-0.097592894032,2492,0.0254889893100001,61.850395661705,462687,14431432.347815808,29572,49.401896500042,18256601.305810686,693911
2025-03-15T00:00:00.000Z,4.98174984299,1553.212062478065,1198.626103579998,-0.097592894032,2492,0.0254889893100001,61.850395661705,462687,14431432.347815808,29572,49.401896500042,18256601.305810686,693911
2025-03-16T00:00:00.000Z,6.490936221204,1553.212062478065,1198.626103579998,-0.097592894032,2492,0.0254889893100001,61.850395661705,462687,14431432.347815808,29572,49.401896500042,18256601.305810686,693911
2025-03-17T00:00:00.000Z,6.516497137045,1553.212062478065,1198.626103579998,-0.097592894032,2492,0.0254889893100001,61.850395661705,462687,14431432.347815808,29572,49.401896500042,18256601.305810686,693911
2025-03-18T00:00:00.000Z,5.635215692031,1553.212062478065,1198.626103579998,-0.097592894032,2492,0.0254889893100001,61.850395661705,462687,14431432.347815808,29572,49.401896500042,18256601.305810686,693911
2025-03-19T00:00:00.000Z,7.269842579566,1553.212062478065,1198.626103579998,-0.097592894032,2492,0.0254889893100001,61.850395661705,462687,14431432.347815808,29572,49.401896500042,18256601.305810686,693911
2025-03-20T00:00:00.000Z,6.506279784588,1414.402558267117,923.947920441628,0.043966172249,2822,-0.011127142656999989,72.717952105197,509613,14286176.4866031,26484,50.168497378362,15173526.741259689,798463
2025-03-21T00:00:00.000Z,5.95620710491,1414.402558267117,923.947920441628,0.043966172249,2822,-0.011127142656999989,72.717952105197,509613,14286176.4866031,26484,50.168497378362,15173526.741259689,798463
2025-03-22T00:00:00.000Z,6.256160387783,1414.402558267117,923.947920441628,0.043966172249,2822,-0.011127142656999989,72.717952105197,509613,14286176.4866031,26484,50.168497378362,15173526.741259689,798463
2025-03-23T00:00:00.000Z,6.593061079247,1414.402558267117,923.947920441628,0.043966172249,2822,-0.011127142656999989,72.717952105197,509613,14286176.4866031,26484,50.168497378362,15173526.741259689,798463
2025-03-24T00:00:00.000Z,6.69957021594,1414.402558267117,923.947920441628,0.043966172249,2822,-0.011127142656999989,72.717952105197,509613,14286176.4866031,26484,50.168497378362,15173526.741259689,798463
2025-03-25T00:00:00.000Z,6.043649559396,1414.402558267117,923.947920441628,0.043966172249,2822,-0.011127142656999989,72.717952105197,509613,14286176.4866031,26484,50.168497378362,15173526.741259689,798463
2025-03-26T00:00:00.000Z,5.616624979603,1414.402558267117,923.947920441628,0.043966172249,2822,-0.011127142656999989,72.717952105197,509613,14286176.4866031,26484,50.168497378362,15173526.741259689,798463
2025-03-27T00:00:00.000Z,5.146722252577,1509.007206737995,1219.565737068653,-0.008566721612,1997,-0.039641496727000014,67.87392133249,474140,14264100.33077984,29595,49.767858144964,16682167.729808602,891439
2025-03-28T00:00:00.000Z,6.863805864174,1509.007206737995,1219.565737068653,-0.008566721612,1997,-0.039641496727000014,67.87392133249,474140,14264100.33077984,29595,49.767858144964,16682167.729808602,891439
2025-03-29T00:00:00.000Z,7.383971832393,1509.007206737995,1219.565737068653,-0.008566721612,1997,-0.039641496727000014,67.87392133249,474140,14264100.33077984,29595,49.767858144964,16682167.729808602,891439
2025-03-30T00:00:00.000Z,8.288918202672,1509.007206737995,1219.565737068653,-0.008566721612,1997,-0.039641496727000014,67.87392133249,474140,14264100.33077984,29595,49.767858144964,16682167.729808602,891439
2025-03-31T00:00:00.000Z,7.331962515143,1509.007206737995,1219.565737068653,-0.008566721612,1997,-0.039641496727000014,67.87392133249,474140,14264100.33077984,29595,49.767858144964,16682167.729808602,891439
